ts,swLong,swLat,neLong,neLat,tweet
1341873678,-0.5093057,51.286606,0.334433,51.691672,"@Real_Liam_Payne Liam beautiful, you could one day invite you to eat or teach (; I love you"
1341873679,-0.5093057,51.286606,0.334433,51.691672,"@LittleMixOffic Happy Birthday Perrie &lt;3 You're a beautiful girl with a extraordinHarry Voice x) xx"
1341873680,-0.2159633,51.48387,-0.109978,51.539768,"@yaliekins @FourFourTom Yeah, pretty much - it how my journalism works. If you throw enough, some of it sticks."
1341873680,-0.419679,51.491499,-0.243335,51.559366,"@alexiovieira Definitely should be more in place to help people like that :( so sad"
1341873681,-0.2159633,51.48387,-0.109978,51.539768,"I look soooooo attractive in joggy bottoms and Fleetwood Mac T and pleat aftermath hair..."
1341873682,-0.254563,51.463873,-0.177653,51.532901,"@HiimDavidd DOBBY ISN'T GAY! LOLWHUT but if you turned gay I could be your gay best friend aha"
1341873683,-0.2159633,51.48387,-0.109978,51.539768,"Looks like @RAFWingsAppeal ducks are a hit with our cadets! They even float in formation! #aircadets #Stamford http://t.co/qTdSiVFA"
1341873683,-0.2159633,51.48387,-0.109978,51.539768,"err body disappear offa twitter"
1341873683,-0.2159633,51.48387,-0.109978,51.539768,"Tarte tatin  @ Galvin Bistro de Luxe http://t.co/XCpGOuN6"
1341873683,-0.457447,51.420633,-0.243419,51.502851,"@SammyJayn how aren’t you is the question? ;D"
1341873684,-0.2159633,51.48387,-0.109978,51.539768,"still testing"
1341873690,-0.023651,51.5007211,1.296605,52.092638,"@FcTietesSophia Seguindo!!"
1341873690,-0.5093057,51.286606,0.334433,51.691672,"@boriscalzadia ese hdp de jaime la chelo rodrigez es un envidioso mal parido"
1341873697,-0.5093057,51.286606,0.334433,51.691672,"am i the only one who gave up on send tweets to justin? :c"
1341873699,0.137939,51.484156,0.334433,51.635922,"Anlther good evening:)"
1341873703,-0.2159633,51.48387,-0.109978,51.539768,"@Bluediamondsz hold on, connection went"
1341873704,-0.023651,51.5007211,1.296605,52.092638,"@Zoleipar @simonmhickson Are his teeth now blackhead free though?"
1341873704,-0.2159633,51.48387,-0.109978,51.539768,"Looong sleep is defo on the cards"
1341873704,-0.2159633,51.48387,-0.109978,51.539768,"time 2 bump up this qwerty keyboard"
1341873707,-0.213503,51.512805,-0.105303,51.572068,"@nphorton @hellobee Guys, the game just took a weird realistic turn… #newstarsoccer http://t.co/XyaJrHdV"
1341873708,-0.2159633,51.48387,-0.109978,51.539768,"@djwaite http://t.co/A6z418uH"
1341873709,-0.5093057,51.286606,0.334433,51.691672,"ASDFGHJK Foo Fighters *--* &lt;3"
1341873710,-0.2159633,51.48387,-0.109978,51.539768,"Acabei de publicar uma foto  @ The Princess of Wales http://t.co/OqCUTylS"
1341873716,0.0748022,51.408711,0.223574,51.514998,"@TransferNewsCen saving it for HULK ;)"
1341873717,-0.2159633,51.48387,-0.109978,51.539768,"@josepvinaixa mamarrachadas de sota, caballo y rey. Y luego se habla de gusto jajajajajaja... y ja!"
1341873717,-0.39216,51.391508,-0.221832,51.489578,"I can't imagine me ever being in a relationship"
1341873719,-0.5093057,51.286606,0.334433,51.691672,"@BobyHoran hahahaa omg, what is he cooking?"
1341873719,-0.5093057,51.286606,0.334433,51.691672,"¿Alguien sabe como hacer para ver videos de MTV USA que están bloqueados? :)"
1341873721,-0.1415223,51.5185518,-0.076305,51.5749096,"Настя на секунду подумала, что я ее вымышленная подруга, потому что я сидела на столе"
1341873724,-0.2159633,51.48387,-0.109978,51.539768,"@milliesorrell19 aha propper mugging him off just because he went off with the cannons aha bait you're jealous"
1341873726,-0.2159633,51.48387,-0.109978,51.539768,"Home food and bed. Cannot wait!"
1341873727,-0.2159633,51.48387,-0.109978,51.539768,"this ya jus nah cool"
1341873727,-0.2159633,51.48387,-0.109978,51.539768,"Chinese tonight    @ Queensway http://t.co/PnC6wVMZ"
1341873729,-0.2159633,51.48387,-0.109978,51.539768,"محشش أنكسرت أصابع أيديه وجبسوله اياهم. سأل الدكتور: لما أفك الجبس بقدر أعزف بيانو؟ قال الدكتور:أكيد! رد المحشش:غريبه مع اني ماأعرف أعزف =))”"
1341873732,-0.15169,51.410966,-0.079053,51.509887,"IM 11/10 BRUH O_o ""@terryniiee: @mr_rhymee erhm s evrythn alryt?"""
1341873735,-0.2159633,51.48387,-0.109978,51.539768,"@britneyspears  come to my pj sleepover this weekend?"
1341873735,0.0748022,51.408711,0.223574,51.514998,"@footiepov haha :D"
1341873739,-0.5093057,51.286606,0.334433,51.691672,"@BillyDanielVC @boriscalzadia @Fanaticos21 njdan eso hdpppp"
1341873742,-0.2159633,51.48387,-0.109978,51.539768,"@tweethead @Telegraph Fair weather gazer! So you go out where its dark. Move onto a narrow boat it is dark most of the time."
1341873743,-0.2284741,51.477157,-0.1497908,51.5303498,"@lvrsd 

امين"
1341873744,-0.2159633,51.48387,-0.109978,51.539768,"What poses a man to stick his dick in to a pie loooooool #AmericanPie"
1341873745,-0.5093057,51.286606,0.334433,51.691672,"Boa Noite ! :D"
1341873747,-0.2159633,51.48387,-0.109978,51.539768,"London eye  @ London http://t.co/Naw3eUrr"
1341873751,-0.2159633,51.48387,-0.109978,51.539768,"Finally rediscovered and bought the tune that's been stuck in my head for 6 years.. the aptly named 'I Don't Remember', by Corey Dargel."
1341873752,-0.15169,51.410966,-0.079053,51.509887,"From looking up the phrase ‘power bottom’ tonight, I discover at least 1 #Wikipedia page that’s #NSFW. #drawnporn"
1341873755,-0.2159633,51.48387,-0.109978,51.539768,"@jasknowles &gt;"
1341873755,0.065775,51.508766,0.189997,51.599475,"""@ZahraWaldorff: @EricaPyne reading Fifty shades of Grey bloody hell this book is sexual :/"" pass it in when your done please"
1341873756,-0.5093057,51.286606,0.334433,51.691672,)))))))))))))))))))))))))))))))))))))))):
1341873760,-0.2159633,51.48387,-0.109978,51.539768,"@dianebreezy NO , i said your pictureee :*"
1341873763,-0.2159633,51.48387,-0.109978,51.539768,"@jreedmp with equal respect as MP and #ShadowHealthMinister you presumably respect other people's opinions even if they seem obtuse to you"
1341873763,-0.5093057,51.286606,0.334433,51.691672,"@JustinHorny :("
1341873766,-0.2159633,51.48387,-0.109978,51.539768,"@kaaylouise_ calm down yeah fixing it"
1341873767,-0.15169,51.410966,-0.079053,51.509887,"Home :-) (@ London Waterloo Railway Station (WAT) w/ 9 others) http://t.co/HwLTIGO5"
1341873767,-0.2159633,51.48387,-0.109978,51.539768,"@fuckmebaKwards I love you so it's okay x"
1341873768,-0.2159633,51.48387,-0.109978,51.539768,"So on Saturday I think I am going to buy an XBOX, Skyrim, most probably a McDonald's and a Playboy magazine. Living the high life."
1341873768,-0.5093057,51.286606,0.334433,51.691672,"@Alwaysnjr_ maravilhoso demais , linda ela da cabeça aos pés &lt;3"
1341873770,-0.2159633,51.48387,-0.109978,51.539768,"@JenniJenni50 I didn't get to say goodbye before I left! Hope you and Gill are well :)"
1341873777,-0.2284741,51.477157,-0.1497908,51.5303498,"I'm at Kensington (London) http://t.co/pVuuthJB"
1341873778,-0.0335507,51.423888,0.123987,51.513563,"time goes fuckin fastttt only clocked I'm 18 in a couple months"
1341873779,-0.457447,51.420633,-0.243419,51.502851,"@christy_downing woo sounds good! :) yeah I’m okay ty :) got to do a resit for uni, but once I pass I’ll be into the second year! :D xo"
1341873780,-0.5093057,51.286606,0.334433,51.691672,"o nie ;( moje wszystkie folmiki, piosneki i zdjecia sie skasowaly ;("
1341873783,-0.2159633,51.48387,-0.109978,51.539768,"arh why did Jazz just text me bitching that I didn't go gay pride with her? ¬___¬"
1341873785,-0.2159633,51.48387,-0.109978,51.539768,"@tofuleader23 I STAN KAI, AND TAO THO, THEY ARE OBVS ANGELS TRYING TO ADJUST TO EARTH WAYS, WHICH IS WHY THEY ARE AWK!"
1341873786,-0.2159633,51.48387,-0.109978,51.539768,"@2014taytay Maybe American girls yeah haha"
1341873786,-0.457447,51.420633,-0.243419,51.502851,"@ems_loves_911 how you finding it at Sky?"
1341873787,0.065775,51.508766,0.189997,51.599475,"@JoaoVianaa oh :) really? :p"
1341873788,-0.457447,51.420633,-0.243419,51.502851,"Sindhi nationalists demanded Pathan &amp; Punjabi settlers to leave Sindh http://t.co/5p9W92b1 #Jang"
